Unnamed: 0,UNNAMED: 0,ASSET_NAME,ASSET_ID,ASSET_TYPE,OPERATING_STATUS,POOL_PARTICIPANT_NAME,POOL_PARTICIPANT_ID,NET_TO_GRID_ASSET_FLAG,ASSET_INCL_STORAGE_FLAG,REGION,TYPE,POOL_ID
2281,2281,POOL EMERG IMPORT ON BCH,PPI3,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2282,2282,POOL EMERG IMPORT ON CMH,PPI4,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2283,2283,POOL EMERG IMPORT ON SPC,PPIA,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2284,2284,POOL EMERG IMPORT ON SPC,PPIB,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2285,2285,POOL EMERG IMPORT ON SPC,PPIC,SOURCE,Retired,Power Pool of Alberta,PPOA,,,,,
2287,2287,PPSK POWER POOL SASK IMPORT,PPSK,SOURCE,Active,AESO - Market,PPOA,,,,,
2304,2304,PSBC PSCC IMPORT BC,PSBC,SOURCE,Retired,Public Service Co. of Colorado,PSCC,,,,,
2305,2305,PSSK PSCC IMPORT SASK,PSSK,SOURCE,Retired,Public Service Co. of Colorado,PSCC,,,,,
2306,2306,PSXB PSCC EXPORT BC,PSXB,SINK,Retired,Public Service Co. of Colorado,PSCC,,,,,
2307,2307,PSXS PSCC EXPORT SASK,PSXS,SINK,Retired,Public Service Co. of Colorado,PSCC,,,,,
2309,2309,PTBC PGEM BC IMPORT,PTBC,SOURCE,Active,Portland General Electric Company,PGEM,,,,,
2310,2310,PTMT PGEM MT IMPORT,PTMT,SOURCE,Active,Portland General Electric Company,PGEM,,,,,
2311,2311,PTXB PGEM BC EXPORT,PTXB,SINK,Active,Portland General Electric Company,PGEM,,,,,
2312,2312,PTXM PGEM MT EXPORT,PTXM,SINK,Active,Portland General Electric Company,PGEM,,,,,
2314,2314,PWX IMPORT FROM BCH,PW0,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2317,2317,PWX IMPORT FROM BCH,PW1,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2318,2318,PWX IMPORT UNIT 10,PW10,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2319,2319,PWX IMPORT UNIT 11,PW11,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2320,2320,PWX IMPORT UNIT 12,PW12,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2321,2321,PWX IMPORT UNIT 13,PW13,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2322,2322,PWX IMPORT UNIT 14,PW14,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2323,2323,PWX IMPORT UNIT 15,PW15,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2324,2324,PWX IMPORT UNIT 16,PW16,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2325,2325,PWX IMPORT UNIT 17,PW17,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2326,2326,PWX IMPORT UNIT 18,PW18,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2327,2327,PWX IMPORT UNIT 19,PW19,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2330,2330,PWX IMPORT FROM BCH,PW2,SOURCE,Retired,B.C. Power Exchange,PWX,,,,,
2331,2331,PW20 PWX EXPORT TO BCH,PW20,SINK,Active,Powerex Corp.,PWX,,,,,
2332,2332,PW21 PWX EXPORT TO BCH,PW21,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2333,2333,PW22 PWX EXPORT TO BCH,PW22,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2334,2334,PW23 PWX EXPORT TO BCH,PW23,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2335,2335,PW24 PWX EXPORT TO BCH,PW24,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2336,2336,PW25 PWX EXPORT TO BCH,PW25,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2337,2337,PW26 PWX EXPORT TO BCH,PW26,SINK,Retired,B.C. Power Exchange,PWX,,,,,
2338,2338,PWX EXPORT TO BCH,PW27,SINK,Retired,B.C. Power Exchange,PWX,,,,,
